benchmark, unique_loop_id, loop_nest_level, dynOp_count, floatOp_count, branchOp_count, memOp_count, operands_count, implicit_instr_count, unique_pred_count, trip_count, loop_calls, reuse_count, use_count, def_count, store_count, load_count
403.gcc,403.gcc_41,2,26,0,0.192308,0.538462,1.69231,0.115385,0.0384615,1,166,0,0.961538,0, 0.0769231, 0.307692, 0
403.gcc,403.gcc_42,1,9,0,0.333333,0.444444,1.66667,0,0.111111,1,75,0,1,0, 0.111111, 0.333333, 0
403.gcc,403.gcc_43,1,60,0,0.2,0.616667,1.81667,0.0333333,0.0166667,1,3366,0,0.966667,0, 0.05, 0.366667, 0
403.gcc,403.gcc_44,1,31,0,0.225806,0.580645,1.80645,0,0.0645161,1,1223,0,0.935484,0, 0.0322581, 0.354839, 0
403.gcc,403.gcc_45,1,20,0,0.3,0.5,1.7,0,0.05,1,2143,0,0.9,0, 0.1, 0.3, 0
403.gcc,403.gcc_46,1,11,0,0.0909091,0.909091,1.63636,0,0,1,1084548,0,1,0, 0.272727, 0.454545, 0
403.gcc,403.gcc_47,1,62,0,0.0645161,0.903226,1.87097,0,0.016129,1,126800,2,1.09677,0, 0.209677, 0.387097, 0
403.gcc,403.gcc_48,1,10,0,0.3,0.4,1.6,0.1,0.1,1,172430,0,0.9,0, 0, 0.3, 0
403.gcc,403.gcc_49,1,10,0,0.3,0.4,1.6,0.1,0.1,1,239398,0,0.9,0, 0, 0.3, 0
403.gcc,403.gcc_50,1,11,0,0.272727,0.545455,1.72727,0,0.0909091,1,29664,0,0.909091,0, 0, 0.363636, 0
403.gcc,403.gcc_51,1,11,0,0.272727,0.545455,1.72727,0,0.0909091,1,259813,0,0.909091,0, 0, 0.363636, 0
403.gcc,403.gcc_52,1,0,0,0,0,0,0,0,1,0,0,0,0, 0, 0, 0
403.gcc,403.gcc_53,1,1,0,1,0,1,0,0,1,1,0,0,0, 0, 0, 0
403.gcc,403.gcc_54,2,8,0,0.25,0.5,1.75,0,0.125,1,922670,0,1,0, 0, 0.375, 0
403.gcc,403.gcc_55,1,439,0,0.100228,0.758542,1.77449,0.022779,0.00683371,1,342301,0,1.15718,0, 0.166287, 0.382688, 0
403.gcc,403.gcc_56,3,35,0,0.142857,0.485714,1.74286,0.0857143,0.0571429,65,0,0,1.08571,0, 0.0571429, 0.342857, 0
403.gcc,403.gcc_57,2,3,0,0.666667,0.333333,1.33333,0,0,3,0,0,0.333333,0, 0.333333, 0, 0
403.gcc,403.gcc_58,1,33,0,0.0606061,0.606061,1.84848,0.0909091,0,1,0,0,1.06061,0, 0.0606061, 0.454545, 0
403.gcc,403.gcc_59,3,34,0,0.117647,0.529412,1.70588,0.0588235,0.0588235,1,0,0,1.20588,0, 0.117647, 0.382353, 0
403.gcc,403.gcc_60,2,15,0,0.333333,0.533333,1.6,0.0666667,0.0666667,3,0,0,0.866667,0, 0.133333, 0.266667, 0
403.gcc,403.gcc_61,1,3,0,0.666667,0.333333,1.33333,0,0,1,0,0,0.333333,0, 0.333333, 0, 0
403.gcc,403.gcc_62,1,8,0,0.25,0.5,1.75,0,0.125,1,0,0,1,0, 0, 0.375, 0
403.gcc,403.gcc_63,1,21,0,0.047619,0.428571,1.85714,0,0.047619,1,0,0,1.09524,0, 0.142857, 0.285714, 0
403.gcc,403.gcc_64,1,13,0,0.230769,0.615385,2.07692,0,0.0769231,1,0,0,0.923077,0, 0, 0.307692, 0
403.gcc,403.gcc_65,1,14,0,0.285714,0.285714,1.57143,0.142857,0.0714286,1,0,0,0.857143,0, 0, 0.285714, 0
403.gcc,403.gcc_66,2,88,0,0.25,0.306818,1.84091,0.0454545,0.0454545,1,0,0,0.931818,0, 0.0113636, 0.261364, 0
403.gcc,403.gcc_67,2,13,0,0.307692,0.384615,1.84615,0,0.0769231,1,0,0,1,0, 0.0769231, 0.307692, 0
403.gcc,403.gcc_68,2,13,0,0.307692,0.384615,1.84615,0,0.0769231,1,0,0,1,0, 0.0769231, 0.307692, 0
403.gcc,403.gcc_69,2,13,0,0.307692,0.384615,1.84615,0,0.0769231,1,0,0,1,0, 0.0769231, 0.307692, 0
403.gcc,403.gcc_70,1,81,0,0.209877,0.54321,1.60494,0.0740741,0.0246914,1,0,0,0.925926,0, 0.160494, 0.320988, 0
403.gcc,403.gcc_71,1,148,0,0.195946,0.52027,1.73649,0.114865,0.0135135,1,0,0,0.966216,0, 0.0945946, 0.277027, 0
403.gcc,403.gcc_72,1,10,0,0.1,0.6,1.9,0.2,0,1,0,0,1.1,0, 0.1, 0.3, 0
403.gcc,403.gcc_73,1,43,0,0.162791,0.55814,1.74419,0.162791,0.0465116,1,326,0,1.06977,0, 0.0930233, 0.27907, 0
403.gcc,403.gcc_74,1,1,0,1,0,1,0,0,1,0,0,0,0, 0, 0, 0
403.gcc,403.gcc_75,1,9,0,0.333333,0.222222,1.55556,0.111111,0.111111,1,0,0,0.777778,0, 0, 0.222222, 0
403.gcc,403.gcc_76,1,49,0,0.102041,0.530612,1.69388,0.0816327,0.0204082,54,0,0,1.2449,0, 0.102041, 0.387755, 0
403.gcc,403.gcc_77,1,55,0,0.0909091,0.509091,1.69091,0.0727273,0.0181818,54,0,0,1.18182,0, 0.109091, 0.363636, 0
403.gcc,403.gcc_78,1,26,0,0.153846,0.346154,1.80769,0.230769,0.0384615,1,0,0,0.961538,0, 0, 0.230769, 0
403.gcc,403.gcc_79,1,11,0,0.0909091,0.727273,1.90909,0.0909091,0.0909091,1,46,0,1.09091,0, 0.0909091, 0.363636, 0
403.gcc,403.gcc_80,1,52,0,0.0961538,0.461538,1.76923,0.269231,0.0384615,1,0,0,1,0, 0, 0.269231, 0
403.gcc,403.gcc_81,1,9,0,0.222222,0.444444,1.44444,0.222222,0.111111,1,0,0,1,0, 0, 0.333333, 0
403.gcc,403.gcc_82,2,0,0,0,0,0,0,0,1,7,0,0,0, 0, 0, 0
403.gcc,403.gcc_83,1,55,0,0.145455,0.581818,1.70909,0.163636,0.0363636,1,175,0,1.01818,0, 0.0727273, 0.309091, 0
403.gcc,403.gcc_84,1,50,0,0.12,0.44,1.76,0.24,0.02,1,126,0,0.96,0, 0, 0.24, 0
403.gcc,403.gcc_85,1,32,0,0.125,0.53125,1.5625,0.15625,0.0625,1,10,1,1.1875,0, 0.125, 0.34375, 0
403.gcc,403.gcc_86,2,9,0,0.333333,0.444444,1.66667,0,0.111111,1,0,0,1,0, 0.111111, 0.333333, 0
403.gcc,403.gcc_87,2,13,0,0.307692,0.384615,1.84615,0,0.0769231,1,0,0,1,0, 0.0769231, 0.307692, 0
403.gcc,403.gcc_88,2,13,0,0.307692,0.384615,1.84615,0,0.0769231,1,0,0,1,0, 0.0769231, 0.307692, 0
403.gcc,403.gcc_89,2,13,0,0.307692,0.384615,1.84615,0,0.0769231,1,0,0,1,0, 0.0769231, 0.307692, 0
403.gcc,403.gcc_90,1,72,0,0.236111,0.513889,1.59722,0.0555556,0.0277778,1,0,0,0.916667,0, 0.152778, 0.319444, 0
403.gcc,403.gcc_91,1,72,0,0.152778,0.513889,1.70833,0.0694444,0.0138889,54,0,0,1.19444,0, 0.111111, 0.361111, 0
403.gcc,403.gcc_92,1,47,0,0.106383,0.531915,1.68085,0.0851064,0.0212766,54,0,0,1.23404,0, 0.106383, 0.382979, 0
403.gcc,403.gcc_93,1,32,0,0.21875,0.5,1.90625,0.03125,0.0625,1,0,0,1.125,0, 0.125, 0.375, 0
403.gcc,403.gcc_94,1,9,0,0.222222,0.444444,1.66667,0.111111,0.111111,1,0,0,0.888889,0, 0, 0.333333, 0
403.gcc,403.gcc_95,1,0,0,0,0,0,0,0,1,0,0,0,0, 0, 0, 0
403.gcc,403.gcc_96,1,0,0,0,0,0,0,0,1,0,0,0,0, 0, 0, 0
403.gcc,403.gcc_97,1,23,0,0.0869565,0.652174,1.86957,0.130435,0.0434783,1,0,0,0.956522,0, 0.130435, 0.347826, 0
403.gcc,403.gcc_98,1,155,0,0.212903,0.464516,1.68387,0.103226,0.0258065,1,0,0,0.993548,0, 0.0903226, 0.309677, 0
403.gcc,403.gcc_99,1,36,0,0.194444,0.472222,1.83333,0.0555556,0.0277778,1,0,0,0.972222,0, 0.0555556, 0.361111, 0
403.gcc,403.gcc_100,1,25,0,0.12,0.64,1.76,0.12,0.04,1,101,0,1.08,0, 0.12, 0.36, 0
403.gcc,403.gcc_101,1,23,0,0.0434783,0.73913,1.65217,0.217391,0,1,0,0,1.08696,0, 0.130435, 0.347826, 0
403.gcc,403.gcc_102,1,7,0,0.142857,0.714286,1.71429,0.142857,0,1,101,0,0.857143,0, 0.142857, 0.285714, 0
403.gcc,403.gcc_103,1,16,0,0.1875,0.5,1.6875,0.125,0.0625,1,101,0,1,0, 0.0625, 0.3125, 0
403.gcc,403.gcc_104,1,9,0,0.222222,0.555556,1.77778,0.111111,0.111111,1,0,0,1,0, 0, 0.333333, 0
403.gcc,403.gcc_105,1,9,0,0.222222,0.555556,1.77778,0.111111,0.111111,1,0,0,1,0, 0, 0.333333, 0
403.gcc,403.gcc_106,1,5,0,0.2,0.8,1.6,0,0,1,0,0,1,0, 0.4, 0.2, 0
403.gcc,403.gcc_107,3,5,0,0.2,0.8,1.6,0,0,1,0,0,1,0, 0.4, 0.2, 0
403.gcc,403.gcc_108,2,15,0,0.133333,0.733333,1.46667,0.133333,0,1,0,0,1.06667,0, 0.2, 0.333333, 0
403.gcc,403.gcc_109,1,45,0,0.177778,0.533333,1.57778,0.155556,0.0222222,1,0,0,1.02222,0, 0.0666667, 0.355556, 0
403.gcc,403.gcc_110,1,42,0,0.166667,0.47619,1.64286,0.142857,0.047619,1,0,0,0.97619,0, 0.0714286, 0.309524, 0
403.gcc,403.gcc_111,1,40,0,0.125,0.5,1.8,0.2,0.05,1,0,0,1,0, 0, 0.3, 0
403.gcc,403.gcc_112,1,40,0,0.125,0.5,1.8,0.2,0.05,1,200,0,1,0, 0, 0.3, 0
403.gcc,403.gcc_113,1,34,0,0.147059,0.411765,1.73529,0.235294,0.0294118,1,9641,0,0.941176,0, 0, 0.235294, 0
403.gcc,403.gcc_114,1,43,0,0.0930233,0.627907,1.69767,0.186047,0.0465116,1,0,0,1.06977,0, 0.0930233, 0.325581, 0
403.gcc,403.gcc_115,1,29,0,0.206897,0.517241,1.75862,0.103448,0.0689655,1,10,0,1,0, 0.0344828, 0.37931, 0
403.gcc,403.gcc_116,1,0,0,0,0,0,0,0,1,0,0,0,0, 0, 0, 0
403.gcc,403.gcc_117,1,17,0,0.235294,0.529412,1.64706,0.117647,0.0588235,1,0,0,1.05882,0, 0.0588235, 0.352941, 0
403.gcc,403.gcc_118,1,0,0,0,0,0,0,0,1,0,0,0,0, 0, 0, 0
403.gcc,403.gcc_119,1,52,0,0.0961538,0.461538,1.76923,0.269231,0.0384615,1,0,0,1,0, 0, 0.269231, 0
403.gcc,403.gcc_120,1,52,0,0.0961538,0.461538,1.76923,0.269231,0.0384615,1,0,0,1,0, 0, 0.269231, 0
403.gcc,403.gcc_121,1,8,0,0.25,0.5,1.875,0,0.125,1,57,0,1,0, 0, 0.375, 0
403.gcc,403.gcc_122,1,16,0,0.0625,0.625,2.0625,0.125,0,1,0,0,1.25,0, 0.125, 0.375, 0
403.gcc,403.gcc_123,1,0,0,0,0,0,0,0,1,0,0,0,0, 0, 0, 0
403.gcc,403.gcc_124,1,0,0,0,0,0,0,0,1,0,0,0,0, 0, 0, 0
403.gcc,403.gcc_125,1,7,0,0.285714,0.571429,1.71429,0,0.142857,1,0,0,1,0, 0, 0.428571, 0
403.gcc,403.gcc_126,1,11,0,0.363636,0.272727,4.09091,0.0909091,0.0909091,1,0,0,0.909091,0, 0, 0.272727, 0
403.gcc,403.gcc_127,1,15,0,0.2,0.666667,1.86667,0,0.0666667,1,0,0,1,0, 0, 0.466667, 0
403.gcc,403.gcc_128,1,36,0,0.138889,0.638889,1.88889,0.0555556,0.0555556,1,0,0,1.02778,0, 0.0277778, 0.416667, 0
403.gcc,403.gcc_129,1,7,0,0.285714,0.571429,1.71429,0,0.142857,1,0,0,1,0, 0, 0.428571, 0
403.gcc,403.gcc_130,2,23,0,0.217391,0.695652,1.78261,0,0.0869565,1,0,0,0.956522,0, 0.0869565, 0.391304, 0
403.gcc,403.gcc_131,1,35,0,0.171429,0.714286,1.68571,0,0.0285714,1,0,0,1.05714,0, 0.171429, 0.428571, 0
403.gcc,403.gcc_132,1,0,0,0,0,0,0,0,1,0,0,0,0, 0, 0, 0
403.gcc,403.gcc_133,1,41,0,0.195122,0.658537,1.70732,0,0.0243902,1,0,0,1.07317,0, 0.0731707, 0.463415, 0
403.gcc,403.gcc_134,1,20,0,0.2,0.55,1.7,0.1,0.05,1,4,0,0.95,0, 0.1, 0.35, 0
403.gcc,403.gcc_135,1,9,0,0.111111,0.666667,1.55556,0.222222,0,1,100,0,0.888889,0, 0.111111, 0.333333, 0
403.gcc,403.gcc_136,1,9,0,0.111111,0.666667,1.55556,0.222222,0,1,247,0,1,0, 0.111111, 0.333333, 0
403.gcc,403.gcc_137,1,58,0,0.12069,0.568966,1.68966,0.189655,0.0344828,1,100,0,0.965517,0, 0.0689655, 0.344828, 0
403.gcc,403.gcc_138,1,12,0,0.0833333,0.666667,1.58333,0.25,0,1,1214,0,1,0, 0.0833333, 0.333333, 0
403.gcc,403.gcc_139,1,79,0,0.151899,0.43038,1.64557,0.253165,0.0126582,1,1214,0,0.936709,0, 0.0379747, 0.253165, 0
403.gcc,403.gcc_140,1,6,0,0.166667,0.666667,1.5,0.166667,0,1,1214,0,1,0, 0.166667, 0.333333, 0
403.gcc,403.gcc_141,1,59,0,0.152542,0.423729,1.71186,0.237288,0.0338983,1,1214,0,0.983051,0, 0.0169492, 0.271186, 0
403.gcc,403.gcc_142,1,3,0,0.333333,0.333333,1.33333,0,0,1,347,0,0.666667,0, 0, 0.333333, 0
403.gcc,403.gcc_143,1,15,0,0.2,0.533333,1.66667,0.2,0.0666667,1,347,0,0.866667,0, 0.0666667, 0.266667, 0
403.gcc,403.gcc_144,1,25,0,0.12,0.6,1.64,0.24,0.04,1,0,0,0.96,0, 0.04, 0.32, 0
403.gcc,403.gcc_145,1,95,0,0.126316,0.557895,1.67368,0.210526,0.0210526,1,0,0,0.957895,0, 0.0631579, 0.326316, 0
403.gcc,403.gcc_146,1,1,0,1,0,1,0,0,1,72,0,0,0, 0, 0, 0
403.gcc,403.gcc_147,1,0,0,0,0,0,0,0,1,21,0,0,0, 0, 0, 0
403.gcc,403.gcc_148,1,25,0,0.2,0.44,1.76,0.16,0.08,1,0,0,0.96,0, 0, 0.32, 0
403.gcc,403.gcc_149,1,8,0,0.25,0.5,1.625,0.125,0.125,1,7,0,1,0, 0, 0.375, 0
403.gcc,403.gcc_150,1,65,0,0.123077,0.569231,1.72308,0.184615,0.0307692,1,0,0,0.984615,0, 0, 0.384615, 0
403.gcc,403.gcc_151,1,23,0,0.173913,0.521739,1.73913,0.130435,0.0869565,1,0,0,1,0, 0.0434783, 0.347826, 0
403.gcc,403.gcc_152,1,8,0,0.25,0.5,1.625,0.125,0.125,1,0,0,1,0, 0, 0.375, 0
403.gcc,403.gcc_153,1,265,0,0.207547,0.588679,1.72453,0.045283,0.00754717,1,44,0,0.860377,0, 0.090566, 0.339623, 0
403.gcc,403.gcc_154,1,68,0,0.25,0.455882,1.75,0.0441176,0.0294118,1,44,0,0.955882,0, 0.117647, 0.308824, 0
403.gcc,403.gcc_155,2,8,0,0.25,0.5,1.625,0.125,0.125,1,44,0,1,0, 0, 0.375, 0
403.gcc,403.gcc_156,1,6,0,0.333333,0.666667,1.5,0,0,1,44,0,0.833333,0, 0.166667, 0.333333, 0
403.gcc,403.gcc_157,2,8,0,0.25,0.5,1.625,0.125,0.125,1,605,0,1,0, 0, 0.375, 0
403.gcc,403.gcc_158,1,16,0,0.3125,0.5625,1.75,0,0.0625,1,284,0,0.875,0, 0.125, 0.3125, 0
403.gcc,403.gcc_159,1,62,0,0.209677,0.467742,1.66129,0.16129,0.0322581,1,0,0,0.951613,0, 0.0967742, 0.241935, 0
403.gcc,403.gcc_160,2,62,0,0.209677,0.467742,1.66129,0.16129,0.0322581,1,0,0,0.951613,0, 0.0967742, 0.241935, 0
403.gcc,403.gcc_161,2,9,0,0.111111,0.666667,1.55556,0.222222,0,1,393,0,1,0, 0.111111, 0.333333, 0
403.gcc,403.gcc_162,2,40,0,0.125,0.5,1.8,0.2,0.05,1,27,0,1,0, 0, 0.3, 0
403.gcc,403.gcc_163,2,10,0,0.2,0.3,1.7,0.2,0.1,1,0,0,0.9,0, 0, 0.2, 0
403.gcc,403.gcc_164,1,656,0,0.198171,0.454268,1.74238,0.112805,0.00609756,1,1886,0,0.931402,0, 0.0868902, 0.28811, 0
403.gcc,403.gcc_165,1,218,0,0.233945,0.444954,1.68807,0.133028,0.0137615,1,1886,0,0.90367,0, 0.059633, 0.288991, 0
403.gcc,403.gcc_166,1,35,0,0.114286,0.628571,1.91429,0.2,0,1,1886,0,1.02857,0, 0.142857, 0.285714, 0
403.gcc,403.gcc_167,1,106,0,0.132075,0.462264,1.71698,0.207547,0.0283019,1,302,0,0.981132,0, 0.0471698, 0.283019, 0
403.gcc,403.gcc_168,1,30,0,0.133333,0.6,1.63333,0.233333,0.0333333,1,302,0,0.933333,0, 0.0666667, 0.3, 0
403.gcc,403.gcc_169,1,41,0,0.121951,0.560976,1.63415,0.195122,0.0243902,1,302,0,1.04878,0, 0.121951, 0.317073, 0
403.gcc,403.gcc_170,1,88,0,0.25,0.431818,1.75,0.125,0.0227273,1,393,0,0.784091,0, 0.0227273, 0.261364, 0
403.gcc,403.gcc_171,2,0,0,0,0,0,0,0,1,75,0,0,0, 0, 0, 0
403.gcc,403.gcc_172,1,110,0,0.172727,0.481818,1.73636,0.127273,0.0181818,1,65,0,0.963636,0, 0.0272727, 0.336364, 0
403.gcc,403.gcc_173,1,41,0,0.0243902,0.609756,1.60976,0.292683,0,1,65,0,1.09756,0, 0.097561, 0.317073, 0
403.gcc,403.gcc_174,1,30,0,0.133333,0.6,1.56667,0.166667,0.0666667,1,65,0,1,0, 0.0666667, 0.4, 0
403.gcc,403.gcc_175,2,4,0,0.25,0.5,1.75,0,0.25,1,313,0,1.25,0, 0, 0.5, 0
403.gcc,403.gcc_176,1,65,0,0.169231,0.569231,1.61538,0.184615,0.0307692,1,65,0,0.953846,0, 0.0615385, 0.323077, 0
403.gcc,403.gcc_177,2,0,0,0,0,0,0,0,1,378,0,0,0, 0, 0, 0
403.gcc,403.gcc_178,2,67,0,0.0746269,0.507463,1.74627,0.283582,0.0298507,1,1,0,1,0, 0, 0.283582, 0
403.gcc,403.gcc_179,1,749,0,0.12016,0.444593,1.66355,0.248331,0.00801068,1,65,0,0.989319,0, 0.0293725, 0.276368, 0
403.gcc,403.gcc_180,1,7,0,0.285714,0.428571,1.71429,0.142857,0.142857,1,0,0,0.857143,0, 0, 0.285714, 0
403.gcc,403.gcc_181,1,119,0,0.0252101,0.554622,1.62185,0.285714,0.00840336,1,5,0,1.10924,0, 0.0840336, 0.302521, 0
403.gcc,403.gcc_182,1,123,0,0.0325203,0.577236,1.60976,0.276423,0.00813008,1,5,0,1.11382,0, 0.0894309, 0.317073, 0
403.gcc,403.gcc_183,1,22,0,0.227273,0.545455,1.68182,0.0454545,0.0454545,1,5,0,1.09091,0, 0.136364, 0.363636, 0
403.gcc,403.gcc_184,1,40,0,0.125,0.5,1.8,0.2,0.05,1,10,0,1,0, 0, 0.3, 0
403.gcc,403.gcc_185,1,104,0,0.182692,0.471154,1.73077,0.173077,0.0192308,1,0,0,0.932692,0, 0.0192308, 0.317308, 0
403.gcc,403.gcc_186,1,10,0,0.1,0.7,1.7,0.2,0,1,0,0,1,0, 0.1, 0.3, 0
403.gcc,403.gcc_187,1,37,0,0.243243,0.459459,1.59459,0.162162,0.0540541,1,0,0,0.864865,0, 0.027027, 0.297297, 0
403.gcc,403.gcc_188,1,66,0,0.151515,0.5,1.66667,0.181818,0.030303,1,0,0,0.954545,0, 0.0606061, 0.30303, 0
403.gcc,403.gcc_189,1,12,0,0.0833333,0.666667,1.58333,0.25,0,1,0,0,1,0, 0.0833333, 0.333333, 0
403.gcc,403.gcc_190,1,15,0,0.2,0.533333,1.66667,0.2,0.0666667,1,0,0,0.866667,0, 0.0666667, 0.266667, 0
403.gcc,403.gcc_191,1,201,0,0.129353,0.517413,1.72637,0.199005,0.0149254,1,0,0,0.945274,0, 0.00995025, 0.328358, 0
403.gcc,403.gcc_192,1,21,0,0.190476,0.619048,1.66667,0.0952381,0.047619,1,100,0,1.04762,0, 0.190476, 0.333333, 0
403.gcc,403.gcc_193,1,38,0,0.157895,0.605263,1.63158,0.184211,0.0526316,1,100,0,0.973684,0, 0.105263, 0.315789, 0
403.gcc,403.gcc_194,1,58,0,0.12069,0.517241,1.72414,0.189655,0.0172414,1,100,0,1.01724,0, 0.0862069, 0.310345, 0
403.gcc,403.gcc_195,2,19,0,0.157895,0.473684,1.68421,0.210526,0.0526316,1,249,0,1,0, 0, 0.315789, 0
403.gcc,403.gcc_196,1,159,0,0.138365,0.553459,1.69811,0.157233,0.0125786,1,100,0,0.962264,0, 0.0943396, 0.333333, 0
403.gcc,403.gcc_197,1,8,0,0.125,0.5,1.5,0.25,0,1,100,0,1,0, 0.125, 0.25, 0
403.gcc,403.gcc_198,1,45,0,0.222222,0.333333,1.68889,0.222222,0.0222222,1,0,0,0.866667,0, 0, 0.244444, 0
403.gcc,403.gcc_199,1,55,0,0.163636,0.527273,1.74545,0.181818,0.0363636,1,0,0,0.909091,0, 0.0181818, 0.290909, 0
403.gcc,403.gcc_200,1,25,0,0.12,0.6,1.64,0.24,0.04,1,0,0,0.96,0, 0.04, 0.32, 0
403.gcc,403.gcc_201,1,67,0,0.19403,0.522388,1.68657,0.149254,0.0298507,1,302,0,0.910448,0, 0.0597015, 0.313433, 0
